# v,actor_1,actor_2,actor_3,actor_4,actor_5
0.000000000000000000e+00,2.673026168831548199e-01,2.673026168831548199e-01,2.673026168831548199e-01,2.673026168831548199e-01,2.673026168831548199e-01
5.000000000000000278e-02,2.675109098624461890e-01,2.675109098624461890e-01,2.675109098624461890e-01,2.675109098624461890e-01,2.675109098624461890e-01
1.000000000000000056e-01,2.674437197595075921e-01,2.674437197595075921e-01,2.674437197595075921e-01,2.674437197595075921e-01,2.674437197595075921e-01
1.500000000000000222e-01,2.672170659575912044e-01,2.672170659575912044e-01,2.672170659575912044e-01,2.672170659575912044e-01,2.672170659575912044e-01
2.000000000000000111e-01,2.677632578549096198e-01,2.677632578549096198e-01,2.677632578549096198e-01,2.677632578549096198e-01,2.677632578549096198e-01
2.500000000000000000e-01,2.673033360484414200e-01,2.673033360484414200e-01,2.673033360484414200e-01,2.673033360484414200e-01,2.673033360484414200e-01
3.000000000000000444e-01,2.677164195430032367e-01,2.677164195430032367e-01,2.677164195430032367e-01,2.677164195430032367e-01,2.677164195430032367e-01
3.500000000000000333e-01,2.671510974633208857e-01,2.671510974633208857e-01,2.671510974633208857e-01,2.671510974633208857e-01,2.671510974633208857e-01
4.000000000000000222e-01,2.674552764649725800e-01,2.674552764649725800e-01,2.674552764649725800e-01,2.674552764649725800e-01,2.674552764649725800e-01
4.500000000000000111e-01,2.677294325211584947e-01,2.677294325211584947e-01,2.677294325211584947e-01,2.677294325211584947e-01,2.677294325211584947e-01
5.000000000000000000e-01,2.670542859321731188e-01,2.670542859321731188e-01,2.670542859321731188e-01,2.670542859321731188e-01,2.670542859321731188e-01
5.500000000000000444e-01,2.672750824669031799e-01,2.672750824669031799e-01,2.672750824669031799e-01,2.672750824669031799e-01,2.672750824669031799e-01
6.000000000000000888e-01,2.674884722721724839e-01,2.674884722721724839e-01,2.674884722721724839e-01,2.674884722721724839e-01,2.674884722721724839e-01
6.500000000000000222e-01,2.676711442612356717e-01,2.676711442612356717e-01,2.676711442612356717e-01,2.676711442612356717e-01,2.676711442612356717e-01
7.000000000000000666e-01,2.670554322968495820e-01,2.670554322968495820e-01,2.670554322968495820e-01,2.670554322968495820e-01,2.670554322968495820e-01
7.500000000000000000e-01,2.670630060850551768e-01,2.670630060850551768e-01,2.670630060850551768e-01,2.670630060850551768e-01,2.670630060850551768e-01
8.000000000000000444e-01,2.672279669379346578e-01,2.672279669379346578e-01,2.672279669379346578e-01,2.672279669379346578e-01,2.672279669379346578e-01
8.500000000000000888e-01,2.673735132085594546e-01,2.673735132085594546e-01,2.673735132085594546e-01,2.673735132085594546e-01,2.673735132085594546e-01
9.000000000000000222e-01,2.675022545632987914e-01,2.675022545632987914e-01,2.675022545632987914e-01,2.675022545632987914e-01,2.675022545632987914e-01
9.500000000000000666e-01,2.676163963571256410e-01,2.676163963571256410e-01,2.676163963571256410e-01,2.676163963571256410e-01,2.676163963571256410e-01
1.000000000000000000e+00,2.673633390436623847e-01,2.673633390436623847e-01,2.673633390436623847e-01,2.673633390436623847e-01,2.673633390436623847e-01
