# v,total_welfare
0.000000000000000000e+00,1.336513084415773767e+00
5.000000000000000278e-02,1.337554549312230945e+00
1.000000000000000056e-01,1.337218598797538238e+00
1.500000000000000222e-01,1.336085329787956022e+00
2.000000000000000111e-01,1.338816289274548099e+00
2.500000000000000000e-01,1.336516680242207489e+00
3.000000000000000444e-01,1.338582097715016239e+00
3.500000000000000333e-01,1.335755487316604428e+00
4.000000000000000222e-01,1.337276382324862123e+00
4.500000000000000111e-01,1.338647162605792529e+00
5.000000000000000000e-01,1.335271429660866094e+00
5.500000000000000444e-01,1.336375412334515955e+00
6.000000000000000888e-01,1.337442361360862364e+00
6.500000000000000222e-01,1.338355721306178969e+00
7.000000000000000666e-01,1.335277161484247577e+00
7.500000000000000000e-01,1.335315030425275884e+00
8.000000000000000444e-01,1.336139834689674233e+00
8.500000000000000888e-01,1.336867566042797106e+00
9.000000000000000222e-01,1.337511272816493291e+00
9.500000000000000666e-01,1.338081981785628427e+00
1.000000000000000000e+00,1.336816695218312256e+00
