# v,gini_compute
0.000000000000000000e+00,1.495374041765794304e-01
5.000000000000000278e-02,1.495016611295680586e-01
1.000000000000000056e-01,1.498327759197327913e-01
1.500000000000000222e-01,1.491144940686224829e-01
2.000000000000000111e-01,1.483979763912307848e-01
2.500000000000000000e-01,1.479729729729727106e-01
3.000000000000000444e-01,1.468697123519460135e-01
3.500000000000000333e-01,1.485952910421158568e-01
4.000000000000000222e-01,1.492333901192504919e-01
4.500000000000000111e-01,1.481228668941977911e-01
5.000000000000000000e-01,1.481228668941977911e-01
5.500000000000000444e-01,1.481228668941977911e-01
6.000000000000000888e-01,1.479495214123043301e-01
6.500000000000000222e-01,1.468267581475123928e-01
7.000000000000000666e-01,1.476910390324351896e-01
7.500000000000000000e-01,1.477663230240547909e-01
8.000000000000000444e-01,1.477663230240547909e-01
8.500000000000000888e-01,1.477663230240547909e-01
9.000000000000000222e-01,1.490227170878002938e-01
9.500000000000000666e-01,1.480968858131491706e-01
1.000000000000000000e+00,1.480968858131491706e-01
