# v,penalty_x1,penalty_x4
0.000000000000000000e+00,-8.809599999999984000e+16,-1.213999999999998720e+17
2.500000000000000139e-02,-8.309733333333246400e+16,-1.168153333333332800e+17
5.000000000000000278e-02,-8.306666666666579200e+16,-1.108046666666668800e+17
7.500000000000001110e-02,-7.848200000000030400e+16,-1.076153333333331200e+17
1.000000000000000056e-01,-7.693333333333372800e+16,-1.045333333333325760e+17
1.250000000000000000e-01,-7.411199999999984000e+16,-1.045333333333325760e+17
1.500000000000000222e-01,-7.254800000000008000e+16,-9.840000000000064000e+16
1.750000000000000167e-01,-7.233333333333337600e+16,-9.840000000000064000e+16
2.000000000000000111e-01,-6.926666666666634400e+16,-9.383066666666686400e+16
2.250000000000000056e-01,-6.790199999999948800e+16,-9.226666666666678400e+16
2.500000000000000000e-01,-6.773333333333281600e+16,-9.073333333333313600e+16
2.750000000000000222e-01,-6.641466666666677600e+16,-8.772799999999976000e+16
3.000000000000000444e-01,-6.620000000000012800e+16,-8.766666666666643200e+16
3.250000000000000111e-01,-6.620000000000012800e+16,-8.461533333333369600e+16
3.500000000000000333e-01,-6.327133333333354400e+16,-8.460000000000035200e+16
3.750000000000000000e-01,-6.012800000000074400e+16,-8.315866666666740800e+16
4.000000000000000222e-01,-6.006666666666740800e+16,-8.306666666666740800e+16
4.250000000000000444e-01,-5.854866666666709600e+16,-7.888066666666656000e+16
4.500000000000000111e-01,-5.853333333333374400e+16,-7.694866666666664000e+16
4.750000000000000333e-01,-5.853333333333374400e+16,-7.693333333333328000e+16
5.000000000000000000e-01,-5.853333333333374400e+16,-7.693333333333328000e+16
5.250000000000000222e-01,-5.853333333333374400e+16,-7.539999999999976000e+16
5.500000000000000444e-01,-5.853333333333374400e+16,-7.389733333333275200e+16
5.750000000000000666e-01,-5.571200000000032000e+16,-7.386666666666609600e+16
6.000000000000000888e-01,-5.548200000000032000e+16,-7.386666666666609600e+16
6.250000000000000000e-01,-5.394866666666666400e+16,-7.242533333333272000e+16
6.500000000000000222e-01,-5.393333333333331200e+16,-7.233333333333272000e+16
6.750000000000000444e-01,-5.393333333333331200e+16,-7.084599999999955200e+16
7.000000000000000666e-01,-5.252266666666625600e+16,-6.928199999999934400e+16
7.250000000000000888e-01,-5.241533333333292800e+16,-6.774866666666668800e+16
7.500000000000000000e-01,-5.239999999999957600e+16,-6.624600000000012800e+16
7.750000000000000222e-01,-5.239999999999957600e+16,-6.620000000000012800e+16
8.000000000000000444e-01,-5.239999999999957600e+16,-6.620000000000012800e+16
8.250000000000000666e-01,-5.239999999999957600e+16,-6.620000000000012800e+16
8.500000000000000888e-01,-5.239999999999957600e+16,-6.620000000000012800e+16
8.750000000000000000e-01,-5.094333333333271200e+16,-6.620000000000012800e+16
9.000000000000000222e-01,-4.960933333333252800e+16,-6.468200000000010400e+16
9.250000000000000444e-01,-4.635866666666651200e+16,-6.466666666666675200e+16
9.500000000000000666e-01,-4.626666666666645600e+16,-6.184533333333342400e+16
9.750000000000000888e-01,-4.626666666666645600e+16,-6.160000000000012800e+16
1.000000000000000000e+00,-4.626666666666645600e+16,-6.160000000000012800e+16
